segment,segment_name,price_tier,price_tier_name,customers,weight,revenue,gross_profit,ltv_per_customer,total_ltv
S1,超富裕層,P1,〜5千円,864.0,0.1,1728000.0,604800.0,1750.0,1512000.0
S1,超富裕層,P2,5千-1万円,864.0,0.3,9720000.0,3888000.0,11250.0,9720000.0
S1,超富裕層,P3,1-2万円,864.0,0.4,25920000.0,11664000.0,33750.0,29160000.0
S1,超富裕層,P4,2万円〜,864.0,0.2,21600000.0,10800000.0,31250.0,27000000.0
S2,富裕層,P1,〜5千円,1350.0,0.2,3780000.0,1323000.0,1960.0000000000002,2646000.0000000005
S2,富裕層,P2,5千-1万円,1350.0,0.4,14175000.0,5670000.0,8400.000000000002,11340000.000000002
S2,富裕層,P3,1-2万円,1350.0,0.3,21262500.0,9568125.0,14175.0,19136250.0
S2,富裕層,P4,2万円〜,1350.0,0.1,11812500.0,5906250.0,8750.0,11812500.0
S3,準富裕層,P1,〜5千円,1296.0,0.4,5184000.0,1814400.0,2333.3333333333335,3024000.0
S3,準富裕層,P2,5千-1万円,1296.0,0.4,9720000.0,3888000.0,5000.0,6480000.0
S3,準富裕層,P3,1-2万円,1296.0,0.15,7290000.0,3280500.0,4218.75,5467500.0
S3,準富裕層,P4,2万円〜,1296.0,0.05,4050000.0,2025000.0,2604.166666666667,3375000.0000000005
