パラメータ,セグメント,セグメントID,方向,目的関数,基準値,変動後,変動額,変動率(%)
到達率,超富裕層,S1,+20%,売上,136242000.0,148035600.0,11793600.0,8.656361474435197
到達率,超富裕層,S1,+20%,粗利,55432075.0,60823435.0,5391360.0,9.726065639794289
到達率,超富裕層,S1,+20%,LTV,130673250.0,144151650.0,13478400.0,10.31458236479157
到達率,超富裕層,S1,-20%,売上,136242000.0,124448400.0,-11793600.0,-8.656361474435197
到達率,超富裕層,S1,-20%,粗利,55432075.0,50040715.0,-5391360.0,-9.726065639794289
到達率,超富裕層,S1,-20%,LTV,130673250.0,117194850.0,-13478400.0,-10.31458236479157
到達率,富裕層,S2,+20%,売上,136242000.0,146448000.0,10206000.0,7.491082045184304
到達率,富裕層,S2,+20%,粗利,55432075.0,59925550.0,4493475.0,8.106272406364006
到達率,富裕層,S2,+20%,LTV,130673250.0,139660200.0,8986950.0,6.877421354408803
到達率,富裕層,S2,-20%,売上,136242000.0,126036000.0,-10206000.0,-7.491082045184304
到達率,富裕層,S2,-20%,粗利,55432075.0,50938600.0,-4493475.0,-8.106272406364006
到達率,富裕層,S2,-20%,LTV,130673250.0,121686300.0,-8986950.0,-6.877421354408803
到達率,準富裕層,S3,+20%,売上,136242000.0,141490800.0,5248800.0,3.8525564803804992
到達率,準富裕層,S3,+20%,粗利,55432075.0,57633655.0,2201580.0,3.97167163596167
到達率,準富裕層,S3,+20%,LTV,130673250.0,134342550.0,3669300.0,2.807996280799628
到達率,準富裕層,S3,-20%,売上,136242000.0,130993200.0,-5248800.0,-3.8525564803804992
到達率,準富裕層,S3,-20%,粗利,55432075.0,53230495.0,-2201580.0,-3.97167163596167
到達率,準富裕層,S3,-20%,LTV,130673250.0,127003950.0,-3669300.0,-2.807996280799628
転換率,超富裕層,S1,+20%,売上,136242000.0,148035600.0,11793600.0,8.656361474435197
転換率,超富裕層,S1,+20%,粗利,55432075.0,60823435.0,5391360.0,9.726065639794289
転換率,超富裕層,S1,+20%,LTV,130673250.0,144151650.0,13478400.0,10.31458236479157
